Didok number;parkrail_number;parkrail_price_day;parkrail_price_month;parkrail_price_year;parkrail_binding_time1;parkrail_binding_time2;parkrail_binding_time3;parkrail_comment;railtaxitext;railtaxiinfo;rental_bike_designation;rental_bike_number;rental_bike_comment;bike_parking_status_d;bike_parking_comment_d;bike_parking_lockable;bike_parking_lockable_text;carsharing location_designation;parkrail_app;parkrail_Webshop;parkrail_local;parkrail_Automat;OPUIC;Stop name;Station abbreviation;lod;Geopos;transport company;Weather;Postal code
6023;27.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;0;1;8506023;Ossingen;OSS;http://lod.opentransportdata.swiss/didok/8506023;47.61461396494432, 8.724116551791841;11;https://meteo.sbb.ch/?didok=8506023;8475
6024;37.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr.;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;0;0;1;8506024;Stammheim;STM;http://lod.opentransportdata.swiss/didok/8506024;47.6348812952966, 8.788750140815177;11;https://meteo.sbb.ch/?didok=8506024;8476
6035;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;;8506035;Schottikon;SCHK;http://lod.opentransportdata.swiss/didok/8506035;47.50011749863303, 8.811719072425081;11;https://meteo.sbb.ch/?didok=8506035;8352
6036;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;;8506036;Reutlingen;REUT;http://lod.opentransportdata.swiss/didok/8506036;47.529659378461204, 8.752148075179223;11;https://meteo.sbb.ch/?didok=8506036;8404
6038;;;;;;;;;Gratisnummer 0800 44 22 66;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;;8506038;Winterthur Wallrüti;WWAL;http://lod.opentransportdata.swiss/didok/8506038;47.516721663533744, 8.760882167318062;11;https://meteo.sbb.ch/?didok=8506038;8404
6039;;;;;;;;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;;;;;8506039;Schloss Laufen am Rheinfall;SLF;http://lod.opentransportdata.swiss/didok/8506039;47.6765656523586, 8.614269044093053;11;https://meteo.sbb.ch/?didok=8506039;8447
6041;28.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Aufgrund von Bauarbeiten ist die P+Rail Anlage ab Juli 2023 bis Ende 2023 gesperrt. P+Rail Tageskunden empfehlen wir alternativ das P+Rail Bülach zu nutzen.;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;1;1;1;8506041;Embrach-Rorbas;EMB;http://lod.opentransportdata.swiss/didok/8506041;47.52059024023321, 8.587068848734445;11;https://meteo.sbb.ch/?didok=8506041;8424
6042;22.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Pfungen Bahnhof;1;1;1;1;8506042;Pfungen;PFU;http://lod.opentransportdata.swiss/didok/8506042;47.51603840485437, 8.646633942248888;11;https://meteo.sbb.ch/?didok=8506042;8422
6043;20.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;Gratisnummer 0800 44 22 66;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;1;0;1;8506043;Winterthur Wülflingen;WWUE;http://lod.opentransportdata.swiss/didok/8506043;47.506435849917644, 8.680929544341401;11;https://meteo.sbb.ch/?didok=8506043;8408
6044;;;;;;;;;Gratisnummer 0800 44 22 66;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Winterthur Töss Bahnhof;;;;;8506044;Winterthur Töss;WTOE;http://lod.opentransportdata.swiss/didok/8506044;47.48980638410136, 8.70930994343885;11;https://meteo.sbb.ch/?didok=8506044;8406
